492;572.774619;"HG7pPylS"
267;209.345881;"eNLhc7uT"
260;412.237490;"Htk1"
-565;-845.585043;"WMpzvDKW"
863;959.985552;"XTqSi7zfz"
622;-50.990346;"EBuvF"
533;-653.184706;"vtjz9QBf"
-672;323.620303;"B"
-210;410.846882;"HF4kaRiw9G"
-602;-956.862879;"62QmKOUcG"
-495;-609.414057;"nQh"
744;-487.792947;"EfeaRD2kb"
31;-91.279616;"mibL"
955;-794.356853;"OLC5l10"
31;-283.885054;"r9q59hY8"
-791;256.592637;"B6re5s0"
-800;300.283395;"U"
-19;-265.379815;"Q56om6HFI"
904;176.583069;"cZfBgbsPG"
-742;584.061814;"AeC"
-139;9.832187;"usn"
-614;356.755901;"cEHy"
474;293.356899;"akA"
723;-78.322503;"EiG1929bn"
-730;-401.691028;"eF7"
740;-405.132195;"3fsZfVZGyd"
886;-89.835917;"MCc0QGS920"
130;226.510108;"zqZuA7Md"
977;-835.693221;"xKYP"
834;-85.722676;"Zn2wyxOwK"
-747;-220.877022;"EmJJZgDu9"
-37;925.263576;"fvT"
398;905.312241;"rOoJzIW7U"
316;-58.432344;"GgQ1xWW8"
752;589.413823;"30Nlbctb"
600;-652.182275;"S4SKf"
772;356.262740;"ldD"
153;481.118307;"cZcVqh"
750;737.147059;"mi"
579;-274.758133;"A"
-775;961.843778;"qw4BfjNC"
631;-730.293098;"y6aPQ"
85;672.970644;"lGnMeQ"
317;740.043263;"1jp99I"
927;-290.856432;"NVB6fq2"
-434;239.867438;"g"
-614;786.726041;"CoEEBSp5XN"
178;173.247801;"AsM1ZMA"
-780;-257.326477;"y"
-524;-718.150272;"XviI4"
799;-324.006435;"Brui2t"
-949;604.063451;"u"
988;947.703916;"ue2Vg"
-788;-382.955822;"dnfxgDCWF"
-728;846.697569;"5EgtDE1tG"
790;922.988744;"iWPwye"
744;719.042960;"nOnJ2c"
-441;667.950534;"ZfiTA"
715;-852.029115;"ABRDyVniI"
195;-666.782009;"v9QJuM"
935;171.050133;"wO"
-249;-244.149593;"HSp"
957;447.875697;"yj"
-831;-881.878052;"ZD3fj5"
858;614.423292;"1gqhI3"
275;-807.261303;"lj5TUbdXS"
533;-501.035350;"6"
-164;382.515768;"BiKGC"
-526;699.347505;"xzmZd"
-225;677.863233;"RfI7gamTsJ"
-574;-200.086048;"8ffanJNlzB"
-87;649.364756;"jHJe7X5"
-422;696.657854;"HaYL"
-208;47.205893;"yk3o1m"
801;965.770152;"2pIe"
228;434.035927;"DraSM0"
-997;218.689032;"Zu"
-809;-796.450552;"5nJ"
-928;808.042471;"JqR3"
-325;-779.255834;"1rrFqJe"
-927;277.931804;"IGqaR"
203;-712.986631;"DkYkPGslX"
552;801.989389;"jCoKuDd2"
33;229.599220;"scZVAlKKKL"
-84;-193.520542;"8"
703;481.641365;"85yCvad"
51;937.951427;"gV2NzywoD3"
290;398.689532;"aIwZ70T"
237;-12.072185;"6fIVc7LrTh"
-523;763.538009;"GBWVLJ47"
-449;-234.914465;"TP"
623;832.372645;"pxj4"
-649;502.136974;"F6CwMBTR"
936;-497.744871;"vN"
-800;893.842426;"O"
-620;534.478588;"L"
-774;569.247999;"Pbo35"
817;441.510084;"9X0H3XYP"
-577;929.126989;"r"
-1;341.000624;"P8gLqvJ"
