978,-8.602e+02,Ke1zkzp
-694,2.401e+02,ge
-905,-5.424e+02,G
208,-9.164e+02,xZei0U
748,-8.008e+02,guEJJECK
499,-6.565e+01,nV
743,6.678e+02,Q
-504,4.512e+02,07
-117,-2.099e+02,wjH8
-203,-5.841e+02,9
955,7.566e+02,wxTFU
-508,-5.845e+02,gi5cxVb
657,-5.503e+02,c6TNnvPbQ
597,1.831e+02,gGgFcf7a7
-433,3.931e+02,SeaM
272,9.580e+01,YyNi
655,4.457e+02,LmP
-909,6.144e+02,Wt71FdH1q4
-614,-3.866e+02,ynf
-986,-4.678e+02,Rkw
801,-5.830e+02,cvUa
285,-4.007e+01,96L
-882,6.181e+02,68eVsh
408,4.749e+02,kDK
-761,3.691e+02,aj9482KL
528,4.291e+02,1jjCxDNOe
145,-1.477e+02,aAuCiqI
-694,-7.701e+02,zIFY
495,4.393e+02,THm
-423,-5.679e+02,44fIr
27,5.895e+02,kkvh
609,-4.880e+02,fPhX
-755,8.026e+02,TsAyCQ2
859,8.710e+02,bsjWo
93,-9.786e+02,pE
147,-7.357e+02,c
123,-4.987e+02,oiFK
532,-2.097e+02,njx
-154,4.674e+02,3
-956,-9.122e+02,brXezWZiqJ
-821,6.238e+02,7OdV
-531,4.811e+02,d
238,-7.625e+02,O8DL6Q
-262,7.049e+02,iQ0p
166,-6.030e+02,93fZ2O
365,-9.061e+02,q
-48,-8.025e+02,pZxGG
-835,3.467e+02,neqMqd
309,9.231e+02,H7cKGZM
512,5.812e+02,R62
23,1.338e+02,XnLCoB
369,-3.173e+02,iSZ9EW
799,1.523e+02,obBJFzP5J
30,4.770e+01,cQm3pzq
289,-7.915e+02,0wIDmrBk
406,7.186e+02,NqAVgapeCq
419,-9.563e+01,WFhJAyqP
-354,-1.950e+02,Rw
-413,-2.096e+02,Mtb
-531,2.368e+02,zSULB8
114,7.441e+02,8Ei
-724,-8.430e+02,o0z
-306,-6.263e+02,jDf
4,6.165e+02,WZgt
319,2.885e+02,Pmr
-925,2.693e+02,gGbSHzXnzu
893,-3.361e+02,1PdJj
-530,-5.306e+02,zrLo1o
-346,2.161e+02,ud
-920,-7.844e+02,ZsfRgsJf
-119,-7.831e+02,FmsPdi
783,8.940e+01,Aeacjoj8
-411,9.841e+02,AEUCvBuF
-792,-8.380e+02,K
693,5.984e+01,9MzBst
827,2.592e+02,pXxta6h
332,7.972e+01,7asCvvJ
954,-9.351e+02,tma
721,-8.859e+02,l9uy4gXCs
400,-3.412e+02,JIwHCXZobO
217,-4.659e+02,vV0Mjojjiz
981,-7.075e+02,Awh5JKJIJ
-302,-7.628e+02,KcqYjGj1W
-140,1.748e+02,ffDKYpQVr5
783,-3.433e+02,osL
-422,2.159e+02,phePDbo7D
420,-9.348e+02,ngHOe3Tw3R
452,1.053e+02,A
318,8.338e+01,rFShg
482,2.043e+02,F
-199,-7.887e+02,yEM
190,5.187e+02,pIipCLOK
-74,8.999e+02,9ZAk
153,-7.424e+02,qFGqdi
693,7.617e+02,7QnusT8ac
572,-4.410e+02,x0bKy
304,-1.209e+02,F
-947,2.824e+02,hGxfjJmLd
-834,1.627e+02,hdNFlMEZ
24,3.736e+02,xV8
